,CONJUNTO,VIZINHOS,AMOSTRAS,PORCENTAGEM,CUSTO,GAP,TIME,PESOS,CAPACIDADES
87,WEISH12,1t,1.0,0.8,2964.6,0.5323237103644108,0.027747488021850543,50.0,5.0
88,WEISH12,2t,1.0,0.8000000000000002,6133.333333333333,0.032444654782562934,1.1198216279347737,50.0,5.0
89,WEISH12,3t,1.0,0.8,6339.0,0.0,40.92716193199158,50.0,5.0
90,WEISH13,1t,1.0,0.8,3539.6,0.4252963143367429,0.0256710529327392,50.0,5.0
91,WEISH13,2t,1.0,0.8000000000000002,6134.333333333333,0.0040049791632840665,1.5847874482472737,50.0,5.0
92,WEISH13,3t,1.0,0.8,6131.0,0.0045461925637278,40.77489638328552,50.0,5.0
93,WEISH14,1t,1.0,0.8,3221.8,0.5366983031348864,0.02736701965332028,60.0,5.0
94,WEISH14,2t,1.0,0.8000000000000002,6686.666666666667,0.0384431022912472,1.73030686378479,60.0,5.0
95,WEISH14,3t,1.0,0.8,6921.0,0.0047454702329594,84.96832299232483,60.0,5.0
96,WEISH15,1t,1.0,0.8,4242.6,0.43326208923323534,0.03441133499145504,60.0,5.0
97,WEISH15,2t,1.0,0.8000000000000002,7170.333333333333,0.04216760174548043,1.7538260618845622,60.0,5.0
98,WEISH15,3t,1.0,0.8,7456.0,0.0040074806305102,107.427983045578,60.0,5.0
99,WEISH16,1t,1.0,0.8,3430.2,0.529400466456304,0.03015623092651364,60.0,5.0
100,WEISH16,2t,1.0,0.8000000000000002,7002.666666666667,0.03928293776009507,1.7784262498219807,60.0,5.0
101,WEISH16,3t,1.0,0.8,7287.0,0.000274386061188,98.91668915748596,60.0,5.0
102,WEISH17,1t,1.0,0.8,4863.8,0.4366037298737403,0.03528733253479,60.0,5.0
103,WEISH17,2t,1.0,0.8000000000000002,8604.0,0.0033592030580330994,1.8630987008412678,60.0,5.0
104,WEISH17,3t,1.0,0.8,8633.0,0.0,132.42176342010498,60.0,5.0
105,WEISH18,1t,1.0,0.8,5125.6,0.4649686847599165,0.042617130279540984,70.0,5.0
106,WEISH18,2t,1.0,0.8000000000000002,9493.0,0.0090814196242171,2.912372430165609,70.0,5.0
107,WEISH18,3t,1.0,0.8,9555.0,0.0026096033402922,162.26125407218933,70.0,5.0
108,WEISH19,1t,1.0,0.8,3011.0,0.6088594440114315,0.039113807678222604,70.0,5.0
109,WEISH19,2t,1.0,0.8000000000000002,7509.0,0.024551831644582935,2.072937329610189,70.0,5.0
110,WEISH19,3t,1.0,0.8,7685.0,0.0016887503247596,147.72438263893127,70.0,5.0
111,WEISH20,1t,1.0,0.8,5258.2,0.44357671957671957,0.05750956535339352,70.0,5.0
112,WEISH20,2t,1.0,0.8000000000000002,9229.0,0.023386243386243333,2.9708220958709717,70.0,5.0
113,WEISH20,3t,1.0,0.8,9445.0,0.0005291005291005,163.7807011604309,70.0,5.0
114,WEISH21,1t,1.0,0.8,4643.8,0.4882301080008816,0.03949489593505856,70.0,5.0
115,WEISH21,2t,1.0,0.8000000000000002,8800.666666666666,0.030122694879141834,3.160064935684204,70.0,5.0
116,WEISH21,3t,1.0,0.8,9050.0,0.0026449195503636,161.71145677566528,70.0,5.0
117,WEISH22,1t,1.0,0.8,3685.2,0.5881077456130546,0.05025587081909176,80.0,5.0
118,WEISH22,2t,1.0,0.8000000000000002,8600.0,0.03878394992734987,4.275802214940389,80.0,5.0
119,WEISH22,3t,1.0,0.8,8929.0,0.0020118475466636,386.0259873867035,80.0,5.0
120,WEISH23,1t,1.0,0.8,3317.0,0.6024688398849473,0.03680567741394038,80.0,5.0
121,WEISH23,2t,1.0,0.8000000000000002,8062.333333333333,0.03375679130712683,3.6351563135782876,80.0,5.0
122,WEISH23,3t,1.0,0.8,8344.0,0.0,292.5699210166931,80.0,5.0
123,WEISH24,1t,1.0,0.8,5564.2,0.4555577299412915,0.05257878303527828,80.0,5.0
124,WEISH24,2t,1.0,0.8000000000000002,10106.333333333334,0.0111219830397912,3.4286247889200845,80.0,5.0
125,WEISH24,3t,1.0,0.8,10192.0,0.0027397260273972,411.3384463787079,80.0,5.0
126,WEISH25,1t,1.0,0.8,5134.8,0.4833685481436764,0.050977563858032184,80.0,5.0
127,WEISH25,2t,1.0,0.8000000000000002,9704.0,0.023644229801790862,3.6820054054260254,80.0,5.0
